STATUS_current,Tracker File Name_current,question #,issues,ID,QUESTIONS_current,image,
APPROVED,Data Set #10 report - Frank Stimson.xlsx,1,all good,Data Set #10 report - Frank Stimson.xlsx-Q1,What was lotion 3rd and 4th qtr. $ sales,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #10 report .html,#N/A
APPROVED,Data Set #10 report - Frank Stimson.xlsx,10,all good,Data Set #10 report - Frank Stimson.xlsx-Q10,What was shampoo 1st and 2nd qtr. $ sales,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #10 report .html,#N/A
APPROVED,Data Set #10 report - Frank Stimson.xlsx,11,all good,Data Set #10 report - Frank Stimson.xlsx-Q11,What was perfumes 1st and 2nd qtr. $ sales,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #10 report .html,#N/A
APPROVED,Data Set #10 report - Frank Stimson.xlsx,12,all good,Data Set #10 report - Frank Stimson.xlsx-Q12,What was bubble bath 1st and 2nd qtr. $ sales,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #10 report .html,#N/A
APPROVED,Data Set #10 report - Frank Stimson.xlsx,13,all good,Data Set #10 report - Frank Stimson.xlsx-Q13,Did body wash sell better than shampoo in which qtr.,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #10 report .html,#N/A
APPROVED,Data Set #10 report - Frank Stimson.xlsx,14,all good,Data Set #10 report - Frank Stimson.xlsx-Q14,Did lotion sell better than face cream in which month,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #10 report .html,#N/A
APPROVED,Data Set #10 report - Frank Stimson.xlsx,15,all good,Data Set #10 report - Frank Stimson.xlsx-Q15,What was the % to total by subclass,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #10 report .html,#N/A
APPROVED,Data Set #10 report - Frank Stimson.xlsx,2,all good,Data Set #10 report - Frank Stimson.xlsx-Q2,What was Body Wash 3rd and 4th qtr. $ sales,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #10 report .html,#N/A
APPROVED,Data Set #10 report - Frank Stimson.xlsx,3,all good,Data Set #10 report - Frank Stimson.xlsx-Q3,What was face cream 3rd and 4th qtr. $ sales,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #10 report .html,#N/A
APPROVED,Data Set #10 report - Frank Stimson.xlsx,4,all good,Data Set #10 report - Frank Stimson.xlsx-Q4,What was shampoo 3rd and 4th qtr. $ sales,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #10 report .html,#N/A
APPROVED,Data Set #10 report - Frank Stimson.xlsx,5,all good,Data Set #10 report - Frank Stimson.xlsx-Q5,What was perfumes 3rd and 4th qtr. $ sales,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #10 report .html,#N/A
APPROVED,Data Set #10 report - Frank Stimson.xlsx,6,all good,Data Set #10 report - Frank Stimson.xlsx-Q6,What was bubble bath 3rd and 4th qtr. $ sales,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #10 report .html,#N/A
APPROVED,Data Set #10 report - Frank Stimson.xlsx,7,all good,Data Set #10 report - Frank Stimson.xlsx-Q7,What was lotion 1st and 2nd qtr. $ sales,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #10 report .html,#N/A
APPROVED,Data Set #10 report - Frank Stimson.xlsx,8,all good,Data Set #10 report - Frank Stimson.xlsx-Q8,What was Body Wash 1st and 2nd qtr. $ sales,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #10 report .html,#N/A
APPROVED,Data Set #10 report - Frank Stimson.xlsx,9,all good,Data Set #10 report - Frank Stimson.xlsx-Q9,What was face cream 1st and 2nd qtr. $ sales,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #10 report .html,#N/A
APPROVED,Data Set #11 report - Frank Stimson.csv,1,all good,Data Set #11 report - Frank Stimson.csv-Q1,What is the current inventory units for stock,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #11 report .html,#N/A
APPROVED,Data Set #11 report - Frank Stimson.csv,10,all good,Data Set #11 report - Frank Stimson.csv-Q10,What is the current inventory GP $for damage,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #11 report .html,#N/A
APPROVED,Data Set #11 report - Frank Stimson.csv,11,all good,Data Set #11 report - Frank Stimson.csv-Q11,how much inventory is on hand in the warehouse for Disney,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #11 report .html,#N/A
APPROVED,Data Set #11 report - Frank Stimson.csv,12,all good,Data Set #11 report - Frank Stimson.csv-Q12,how much inventory is on hand in the warehouse for Viacom,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #11 report .html,#N/A
APPROVED,Data Set #11 report - Frank Stimson.csv,13,all good,Data Set #11 report - Frank Stimson.csv-Q13,how much inventory is on hand in the warehouse for Hasbro,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #11 report .html,#N/A
APPROVED,Data Set #11 report - Frank Stimson.csv,14,all good,Data Set #11 report - Frank Stimson.csv-Q14,how much inventory is on hand in the warehouse for Warner Bros,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #11 report .html,#N/A
APPROVED,Data Set #11 report - Frank Stimson.csv,15,all good,Data Set #11 report - Frank Stimson.csv-Q15,how much inventory is on hand in the warehouse for Swany,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #11 report .html,#N/A
APPROVED,Data Set #11 report - Frank Stimson.csv,2,all good,Data Set #11 report - Frank Stimson.csv-Q2,What is the current inventory units for made to order,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #11 report .html,#N/A
