tracker_file_name_current,question_current,question_match,status_current,id,matched_id,matched_tracker_file_name
Data Set #2-13 report - Frank Stimson.csv,How many containers took longer than 21 days to get loaded onto the vessel in 2021?,How many containers took 8 - 13 days to get delivered to the warehouse in 2021?,REJECTED,Data Set #2-13 report - Frank Stimson.csv-Q1,Data Set #2-14 report - Frank Stimson.csv-Q13,Data Set #2-14 report - Frank Stimson.csv
Data Set #2-13 report - Frank Stimson.csv,What was the average number of days to unload the vessel for 2021?,Which port of discharge had the highest number of containers shipped to it in 2021?,REJECTED,Data Set #2-13 report - Frank Stimson.csv-Q10,Data Set #2-18 report - Frank Stimson.csv-Q12,Data Set #2-18 report - Frank Stimson.csv
Data Set #2-13 report - Frank Stimson.csv,What was the average number of days to unload the vessel for 2022?,Which vessel company shipped the most containers in 2022?,REJECTED,Data Set #2-13 report - Frank Stimson.csv-Q12,Data Set #2-18 report - Frank Stimson.csv-Q6,Data Set #2-18 report - Frank Stimson.csv
Data Set #2-13 report - Frank Stimson.csv,What was the average number of days to unload the vessel for 2021-2022?,Which port of discharge had the highest number of containers shipped to it in 2021?,REJECTED,Data Set #2-13 report - Frank Stimson.csv-Q14,Data Set #2-18 report - Frank Stimson.csv-Q12,Data Set #2-18 report - Frank Stimson.csv
Data Set #2-13 report - Frank Stimson.csv,How many containers took longer than 21 days to get loaded onto the vessel in 2022?,How many containers took 8 - 13 days to get delivered to the warehouse in 2022?,REJECTED,Data Set #2-13 report - Frank Stimson.csv-Q15,Data Set #2-14 report - Frank Stimson.csv-Q15,Data Set #2-14 report - Frank Stimson.csv
Data Set #2-13 report - Frank Stimson.csv,What was the average number of days to load the vessel for 2021?,Which vessel company shipped the least containers in 2021?,REJECTED,Data Set #2-13 report - Frank Stimson.csv-Q4,Data Set #2-18 report - Frank Stimson.csv-Q8,Data Set #2-18 report - Frank Stimson.csv
Data Set #2-13 report - Frank Stimson.csv,What was the average number of days to load the vessel for 2022?,Which port of discharge had the highest number of containers shipped to it in 2021?,REJECTED,Data Set #2-13 report - Frank Stimson.csv-Q6,Data Set #2-18 report - Frank Stimson.csv-Q12,Data Set #2-18 report - Frank Stimson.csv
Data Set #2-13 report - Frank Stimson.csv,What was the average number of days to load the vessel for 2021-2022?,Which vessel company shipped the most containers in 2022?,REJECTED,Data Set #2-13 report - Frank Stimson.csv-Q8,Data Set #2-18 report - Frank Stimson.csv-Q6,Data Set #2-18 report - Frank Stimson.csv
Data Set #2-24 report - Frank Stimson.csv,How many employees had carryover personal days in 2016?,How many employees had carryover personal days in 2020?,REJECTED,Data Set #2-24 report - Frank Stimson.csv-Q1,Data Set #4-14 report - Frank Stimson.csv-Q1,Data Set #4-14 report - Frank Stimson.csv
Data Set #2-24 report - Frank Stimson.csv,"What is the Federal income tax rate for 2019 from the federal W-4 form for married filing jointly with income under $80,000?","What is the Federal income tax rate for 2017 from the federal W-4 form for married filing jointly with income under $80,000?",REJECTED,Data Set #2-24 report - Frank Stimson.csv-Q10,Data Set #2-30 report - Frank Stimson.csv-Q10,Data Set #2-30 report - Frank Stimson.csv
