tracker_file_name_current,final_status,period,status_current,notes
Data Set #10 report - Frank Stimson.xlsx,APPROVED,1/4/2024,DS submitted,
Data Set #10 report - Frank Stimson.xlsx,APPROVED,3/15/2024,Rejected,The dataset does not meet the project criteria.
Data Set #10 report - Frank Stimson.xlsx,APPROVED,3/18/2024,Rejected,The dataset does not meet the project criteria.
Data Set #10 report - Frank Stimson.xlsx,APPROVED,3/20/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #10 report - Frank Stimson.xlsx,APPROVED,3/21/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #10 report - Frank Stimson.xlsx,APPROVED,3/22/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #10 report - Frank Stimson.xlsx,APPROVED,3/28/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #10 report - Frank Stimson.xlsx,APPROVED,3/29/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #10 report - Frank Stimson.xlsx,APPROVED,4/1/2024,Rejected,The questions do not meet the project criteria.
Data Set #10 report - Frank Stimson.xlsx,APPROVED,4/2/2024,Rejected,The questions do not meet the project criteria.
Data Set #10 report - Frank Stimson.xlsx,APPROVED,4/4/2024,Rejected,The questions do not meet the project criteria.
Data Set #10 report - Frank Stimson.xlsx,APPROVED,4/25/2024,Approved,
Data Set #10 report - Frank Stimson.xlsx,APPROVED,4/29/2024,Paid,Paid
Data Set #11 report - Frank Stimson.csv,APPROVED,1/4/2024,DS submitted,
Data Set #11 report - Frank Stimson.csv,APPROVED,3/15/2024,Rejected,
Data Set #11 report - Frank Stimson.csv,APPROVED,3/18/2024,Rejected,
Data Set #11 report - Frank Stimson.csv,APPROVED,3/20/2024,Rejected,
Data Set #11 report - Frank Stimson.csv,APPROVED,3/21/2024,Rejected,
Data Set #11 report - Frank Stimson.csv,APPROVED,3/22/2024,Rejected,
Data Set #11 report - Frank Stimson.csv,APPROVED,3/28/2024,Rejected,
Data Set #11 report - Frank Stimson.csv,APPROVED,3/29/2024,Rejected,
Data Set #11 report - Frank Stimson.csv,APPROVED,4/1/2024,Rejected,
Data Set #11 report - Frank Stimson.csv,APPROVED,4/2/2024,Rejected,
Data Set #11 report - Frank Stimson.csv,APPROVED,4/4/2024,Rejected,
Data Set #11 report - Frank Stimson.csv,APPROVED,4/25/2024,Approved,
Data Set #11 report - Frank Stimson.csv,APPROVED,4/29/2024,Paid,Paid
Data Set #12 report - Frank Stimson.csv,APPROVED,1/4/2024,DS submitted,
Data Set #12 report - Frank Stimson.csv,APPROVED,3/15/2024,Rejected,The dataset does not meet the project criteria.
Data Set #12 report - Frank Stimson.csv,APPROVED,3/18/2024,Rejected,The dataset does not meet the project criteria.
Data Set #12 report - Frank Stimson.csv,APPROVED,3/20/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #12 report - Frank Stimson.csv,APPROVED,3/21/2024,Rejected,The dataset and questions do not meet the project criteria.
