status_current,tracker_file_name_current,question_number,issues,id,question_current
APPROVED,Data Set #10 report - Frank Stimson.xlsx,13,all good,Data Set #10 report - Frank Stimson.xlsx-Q13,Did body wash sell better than shampoo in which qtr.
APPROVED,Data Set #10 report - Frank Stimson.xlsx,14,all good,Data Set #10 report - Frank Stimson.xlsx-Q14,Did lotion sell better than face cream in which month
APPROVED,Data Set #10 report - Frank Stimson.xlsx,8,all good,Data Set #10 report - Frank Stimson.xlsx-Q8,What was Body Wash 1st and 2nd qtr. $ sales
APPROVED,Data Set #10 report - Frank Stimson.xlsx,2,all good,Data Set #10 report - Frank Stimson.xlsx-Q2,What was Body Wash 3rd and 4th qtr. $ sales
APPROVED,Data Set #10 report - Frank Stimson.xlsx,12,all good,Data Set #10 report - Frank Stimson.xlsx-Q12,What was bubble bath 1st and 2nd qtr. $ sales
APPROVED,Data Set #10 report - Frank Stimson.xlsx,6,all good,Data Set #10 report - Frank Stimson.xlsx-Q6,What was bubble bath 3rd and 4th qtr. $ sales
APPROVED,Data Set #10 report - Frank Stimson.xlsx,9,all good,Data Set #10 report - Frank Stimson.xlsx-Q9,What was face cream 1st and 2nd qtr. $ sales
APPROVED,Data Set #10 report - Frank Stimson.xlsx,3,all good,Data Set #10 report - Frank Stimson.xlsx-Q3,What was face cream 3rd and 4th qtr. $ sales
APPROVED,Data Set #10 report - Frank Stimson.xlsx,7,all good,Data Set #10 report - Frank Stimson.xlsx-Q7,What was lotion 1st and 2nd qtr. $ sales
APPROVED,Data Set #10 report - Frank Stimson.xlsx,1,all good,Data Set #10 report - Frank Stimson.xlsx-Q1,What was lotion 3rd and 4th qtr. $ sales
APPROVED,Data Set #10 report - Frank Stimson.xlsx,11,all good,Data Set #10 report - Frank Stimson.xlsx-Q11,What was perfumes 1st and 2nd qtr. $ sales
APPROVED,Data Set #10 report - Frank Stimson.xlsx,5,all good,Data Set #10 report - Frank Stimson.xlsx-Q5,What was perfumes 3rd and 4th qtr. $ sales
APPROVED,Data Set #10 report - Frank Stimson.xlsx,10,all good,Data Set #10 report - Frank Stimson.xlsx-Q10,What was shampoo 1st and 2nd qtr. $ sales
APPROVED,Data Set #10 report - Frank Stimson.xlsx,4,all good,Data Set #10 report - Frank Stimson.xlsx-Q4,What was shampoo 3rd and 4th qtr. $ sales
APPROVED,Data Set #10 report - Frank Stimson.xlsx,15,all good,Data Set #10 report - Frank Stimson.xlsx-Q15,What was the % to total by subclass
APPROVED,Data Set #11 report - Frank Stimson.csv,1,all good,Data Set #11 report - Frank Stimson.csv-Q1,What is the current inventory units for stock
APPROVED,Data Set #11 report - Frank Stimson.csv,10,all good,Data Set #11 report - Frank Stimson.csv-Q10,What is the current inventory GP $for damage
APPROVED,Data Set #11 report - Frank Stimson.csv,11,all good,Data Set #11 report - Frank Stimson.csv-Q11,how much inventory is on hand in the warehouse for Disney
APPROVED,Data Set #11 report - Frank Stimson.csv,12,all good,Data Set #11 report - Frank Stimson.csv-Q12,how much inventory is on hand in the warehouse for Viacom
APPROVED,Data Set #11 report - Frank Stimson.csv,13,all good,Data Set #11 report - Frank Stimson.csv-Q13,how much inventory is on hand in the warehouse for Hasbro
APPROVED,Data Set #11 report - Frank Stimson.csv,14,all good,Data Set #11 report - Frank Stimson.csv-Q14,how much inventory is on hand in the warehouse for Warner Bros
APPROVED,Data Set #11 report - Frank Stimson.csv,15,all good,Data Set #11 report - Frank Stimson.csv-Q15,how much inventory is on hand in the warehouse for Swany
APPROVED,Data Set #11 report - Frank Stimson.csv,2,all good,Data Set #11 report - Frank Stimson.csv-Q2,What is the current inventory units for made to order
APPROVED,Data Set #11 report - Frank Stimson.csv,3,all good,Data Set #11 report - Frank Stimson.csv-Q3,What is the current inventory units for replenishment
APPROVED,Data Set #11 report - Frank Stimson.csv,4,all good,Data Set #11 report - Frank Stimson.csv-Q4,What is the current inventory units for close out
APPROVED,Data Set #11 report - Frank Stimson.csv,5,all good,Data Set #11 report - Frank Stimson.csv-Q5,What is the current inventory units for damage
APPROVED,Data Set #11 report - Frank Stimson.csv,6,all good,Data Set #11 report - Frank Stimson.csv-Q6,What is the current inventory GP $for stock
APPROVED,Data Set #11 report - Frank Stimson.csv,7,all good,Data Set #11 report - Frank Stimson.csv-Q7,What is the current inventory GP $for made to order
APPROVED,Data Set #11 report - Frank Stimson.csv,8,all good,Data Set #11 report - Frank Stimson.csv-Q8,What is the current inventory GP $for replenishment
APPROVED,Data Set #11 report - Frank Stimson.csv,9,all good,Data Set #11 report - Frank Stimson.csv-Q9,What is the current inventory GP $for close out
APPROVED,Data Set #12 report - Frank Stimson.csv,1,all good,Data Set #12 report - Frank Stimson.csv-Q1,What is the current inventory cost $ for stock
APPROVED,Data Set #12 report - Frank Stimson.csv,10,all good,Data Set #12 report - Frank Stimson.csv-Q10,What is the current inventory GP %for damage
APPROVED,Data Set #12 report - Frank Stimson.csv,11,all good,Data Set #12 report - Frank Stimson.csv-Q11,What is the average ago of inventory for close out accessories
APPROVED,Data Set #12 report - Frank Stimson.csv,12,all good,Data Set #12 report - Frank Stimson.csv-Q12,What is the average ago of inventory for close out bags
APPROVED,Data Set #12 report - Frank Stimson.csv,13,all good,Data Set #12 report - Frank Stimson.csv-Q13,What is the average ago of inventory for made to order accessories
APPROVED,Data Set #12 report - Frank Stimson.csv,14,all good,Data Set #12 report - Frank Stimson.csv-Q14,What is the average ago of inventory for made to order bags
APPROVED,Data Set #12 report - Frank Stimson.csv,15,all good,Data Set #12 report - Frank Stimson.csv-Q15,what is the total inventory of close out inventory
APPROVED,Data Set #12 report - Frank Stimson.csv,2,all good,Data Set #12 report - Frank Stimson.csv-Q2,What is the current inventory cost $ for made to order
APPROVED,Data Set #12 report - Frank Stimson.csv,3,all good,Data Set #12 report - Frank Stimson.csv-Q3,What is the current inventory cost $ for replenishment
APPROVED,Data Set #12 report - Frank Stimson.csv,4,all good,Data Set #12 report - Frank Stimson.csv-Q4,What is the current inventory cost $ for close out
APPROVED,Data Set #12 report - Frank Stimson.csv,5,all good,Data Set #12 report - Frank Stimson.csv-Q5,What is the current inventory cost $ for damage
APPROVED,Data Set #12 report - Frank Stimson.csv,6,all good,Data Set #12 report - Frank Stimson.csv-Q6,What is the current inventory GP %for stock
APPROVED,Data Set #12 report - Frank Stimson.csv,7,all good,Data Set #12 report - Frank Stimson.csv-Q7,What is the current inventory GP %for made to order
APPROVED,Data Set #12 report - Frank Stimson.csv,8,all good,Data Set #12 report - Frank Stimson.csv-Q8,What is the current inventory GP %for replenishment
APPROVED,Data Set #12 report - Frank Stimson.csv,9,all good,Data Set #12 report - Frank Stimson.csv-Q9,What is the current inventory GP %for close out
APPROVED,Data Set #13 report,1,all good,Data Set #13 report-Q1,What is the current inventory sell price $ for stock
APPROVED,Data Set #13 report,10,all good,Data Set #13 report-Q10,How much inventory units is on hand for Jewelry
APPROVED,Data Set #13 report,11,all good,Data Set #13 report-Q11,How much inventory units is on hand for eyewear
APPROVED,Data Set #13 report,12,all good,Data Set #13 report-Q12,How much inventory units is on hand for cold wear
APPROVED,Data Set #13 report,13,all good,Data Set #13 report-Q13,how much inventory is in cold weather items
APPROVED,Data Set #13 report,14,all good,Data Set #13 report-Q14,what is the average age of inventory on cold weather items
APPROVED,Data Set #13 report,15,all good,Data Set #13 report-Q15,"what is the total unit, cost and sell price, GP $ and GP% for all of cold weather items"
APPROVED,Data Set #13 report,2,all good,Data Set #13 report-Q2,What is the current inventory sell price $ for made to order
APPROVED,Data Set #13 report,3,all good,Data Set #13 report-Q3,What is the current inventory sell price $ for replenishment
APPROVED,Data Set #13 report,4,all good,Data Set #13 report-Q4,What is the current inventory sell price $ for close out
APPROVED,Data Set #13 report,5,all good,Data Set #13 report-Q5,What is the current inventory sell price $ for damage
APPROVED,Data Set #13 report,6,all good,Data Set #13 report-Q6,How much is on order at the factory for 
APPROVED,Data Set #13 report,7,all good,Data Set #13 report-Q7,How much inventory units is on hand for scarves
APPROVED,Data Set #13 report,8,all good,Data Set #13 report-Q8,How much inventory units is on hand for belts
APPROVED,Data Set #13 report,9,all good,Data Set #13 report-Q9,How much inventory units is on hand for hats
APPROVED,Data Set #14 report,1,zz,Data Set #14 report-Q1,What will be the royalty fees for Perlina
APPROVED,Data Set #14 report,10,zz,Data Set #14 report-Q10,What is the current inventory of bags that cost above $150
APPROVED,Data Set #14 report,11,zz,Data Set #14 report-Q11,The bags that cost above $150 what is the inventory of closeouts
APPROVED,Data Set #14 report,12,zz,Data Set #14 report-Q12,Which subclass has the most inventory on order at the factory
APPROVED,Data Set #14 report,13,zz,Data Set #14 report-Q13,What is the total on order at the factory for NL
APPROVED,Data Set #14 report,14,zz,Data Set #14 report-Q14,What is the total on order at the factory cost $
APPROVED,Data Set #14 report,15,zz,Data Set #14 report-Q15,What will be the royalty fees for Circus
APPROVED,Data Set #14 report,2,zz,Data Set #14 report-Q2,What will be the royalty fees for Latique
APPROVED,Data Set #14 report,3,zz,Data Set #14 report-Q3,What will be the royalty fees for Sam Edelman
APPROVED,Data Set #14 report,4,zz,Data Set #14 report-Q4,What will be the royalty fees for Pulm
APPROVED,Data Set #14 report,5,zz,Data Set #14 report-Q5,What will be the royalty fees for Circus
APPROVED,Data Set #14 report,6,zz,Data Set #14 report-Q6,What will be the royalty fees for NL
APPROVED,Data Set #14 report,7,zz,Data Set #14 report-Q7,What will be the royalty fees for Collection B
APPROVED,Data Set #14 report,8,zz,Data Set #14 report-Q8,What is the current inventory on closeout 
APPROVED,Data Set #14 report,9,zz,Data Set #14 report-Q9,How many bags have a cost of $150
APPROVED,Data Set #15 report.csv,1,all good,Data Set #15 report.csv-Q1,What is on order at the factory at cost for made to order
APPROVED,Data Set #15 report.csv,10,all good,Data Set #15 report.csv-Q10,what is the current inventory average age for care
APPROVED,Data Set #15 report.csv,11,all good,Data Set #15 report.csv-Q11,what is the % of close out inventory or the total inventory for bath
APPROVED,Data Set #15 report.csv,12,all good,Data Set #15 report.csv-Q12,what is the % of close out inventory or the total inventory for body care
APPROVED,Data Set #15 report.csv,13,all good,Data Set #15 report.csv-Q13,what is the % of close out inventory or the total inventory for gift sets
APPROVED,Data Set #15 report.csv,14,all good,Data Set #15 report.csv-Q14,what is the % of close out inventory or the total inventory for care
APPROVED,Data Set #15 report.csv,15,all good,Data Set #15 report.csv-Q15,what are the sub types
APPROVED,Data Set #15 report.csv,2,all good,Data Set #15 report.csv-Q2,What is on order at the factory at cost for replenishment
APPROVED,Data Set #15 report.csv,3,all good,Data Set #15 report.csv-Q3,What is on order at the factory in units for made to order
APPROVED,Data Set #15 report.csv,4,all good,Data Set #15 report.csv-Q4,What is on order at the factory in units for replenishment
APPROVED,Data Set #15 report.csv,5,all good,Data Set #15 report.csv-Q5,What is on order at the factory at sell price for made to order
APPROVED,Data Set #15 report.csv,6,all good,Data Set #15 report.csv-Q6,What is on order at the factory at sell price for replenishment
APPROVED,Data Set #15 report.csv,7,all good,Data Set #15 report.csv-Q7,what is the current inventory average age for bath
APPROVED,Data Set #15 report.csv,8,all good,Data Set #15 report.csv-Q8,what is the current inventory average age for body care
APPROVED,Data Set #15 report.csv,9,all good,Data Set #15 report.csv-Q9,what is the current inventory average age for gift sets
APPROVED,Data Set #16 report - Frank Stimson.csv,1,all good,Data Set #16 report - Frank Stimson.csv-Q1,What did salesperson 10 sell to customer type Mass in 2022
APPROVED,Data Set #16 report - Frank Stimson.csv,10,all good,Data Set #16 report - Frank Stimson.csv-Q10,What did salesperson 10 sell to customer type Discount 2023
APPROVED,Data Set #16 report - Frank Stimson.csv,11,all good,Data Set #16 report - Frank Stimson.csv-Q11,What did salesperson 10 sell to customer type Independent in 2023
APPROVED,Data Set #16 report - Frank Stimson.csv,12,all good,Data Set #16 report - Frank Stimson.csv-Q12,What did salesperson 10 sell to customer type Online in 2023
APPROVED,Data Set #16 report - Frank Stimson.csv,13,all good,Data Set #16 report - Frank Stimson.csv-Q13,What did salesperson 10 sell to customer type Specialty in 2023
APPROVED,Data Set #16 report - Frank Stimson.csv,14,all good,Data Set #16 report - Frank Stimson.csv-Q14,What did salesperson 10 sell to customer type Whse in 2023
APPROVED,Data Set #16 report - Frank Stimson.csv,15,all good,Data Set #16 report - Frank Stimson.csv-Q15,What did salesperson 10 sell to all customer in 2022
APPROVED,Data Set #16 report - Frank Stimson.csv,2,all good,Data Set #16 report - Frank Stimson.csv-Q2,What did salesperson 10 sell to customer type Dept in 2022
APPROVED,Data Set #16 report - Frank Stimson.csv,3,all good,Data Set #16 report - Frank Stimson.csv-Q3,What did salesperson 10 sell to customer type Discount 2022
APPROVED,Data Set #16 report - Frank Stimson.csv,4,all good,Data Set #16 report - Frank Stimson.csv-Q4,What did salesperson 10 sell to customer type Independent in 2022
APPROVED,Data Set #16 report - Frank Stimson.csv,5,all good,Data Set #16 report - Frank Stimson.csv-Q5,What did salesperson 10 sell to customer type Online in 2022
APPROVED,Data Set #16 report - Frank Stimson.csv,6,all good,Data Set #16 report - Frank Stimson.csv-Q6,What did salesperson 10 sell to customer type Specialty in 2022
APPROVED,Data Set #16 report - Frank Stimson.csv,7,all good,Data Set #16 report - Frank Stimson.csv-Q7,What did salesperson 10 sell to customer type Whse in 2022
APPROVED,Data Set #16 report - Frank Stimson.csv,8,all good,Data Set #16 report - Frank Stimson.csv-Q8,What did salesperson 10 sell to customer type Mass in 2023
APPROVED,Data Set #16 report - Frank Stimson.csv,9,all good,Data Set #16 report - Frank Stimson.csv-Q9,What did salesperson 10 sell to customer type Dept in 2023
